dictionary is: 
(0, [0, 0, 4, 4, 0])
(1, [0, 1, 4, 4, 0])
(2, [0, 2, 4, 4, 0])
(3, [0, 3, 4, 4, 0])
(4, [0, 4, 4, 4, 0])
(5, [1, 0, 4, 4, 0])
(6, [1, 2, 4, 4, 0])
(7, [1, 4, 4, 4, 0])
(8, [2, 0, 4, 4, 0])
(9, [2, 1, 4, 4, 0])
(10, [2, 2, 4, 4, 0])
(11, [2, 3, 4, 4, 0])
(12, [2, 4, 4, 4, 0])
(13, [3, 0, 4, 4, 0])
(14, [3, 2, 4, 4, 0])
(15, [3, 4, 4, 4, 0])
(16, [4, 0, 4, 4, 0])
(17, [4, 1, 4, 4, 0])
(18, [4, 2, 4, 4, 0])
(19, [4, 3, 4, 4, 0])
(20, [4, 4, 4, 4, 0])
(21, [0, 0, 4, 4, 1])
(22, [0, 1, 4, 4, 1])
(23, [0, 2, 4, 4, 1])
(24, [0, 3, 4, 4, 1])
(25, [0, 4, 4, 4, 1])
(26, [1, 0, 4, 4, 1])
(27, [1, 2, 4, 4, 1])
(28, [1, 4, 4, 4, 1])
(29, [2, 0, 4, 4, 1])
(30, [2, 1, 4, 4, 1])
(31, [2, 2, 4, 4, 1])
(32, [2, 3, 4, 4, 1])
(33, [2, 4, 4, 4, 1])
(34, [3, 0, 4, 4, 1])
(35, [3, 2, 4, 4, 1])
(36, [3, 4, 4, 4, 1])
(37, [4, 0, 4, 4, 1])
(38, [4, 1, 4, 4, 1])
(39, [4, 2, 4, 4, 1])
(40, [4, 3, 4, 4, 1])
(41, [4, 4, 4, 4, 1])
